uuid,code,column,value_from,value_to,ruleset,message,severity
00008100_001f520c,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_00375e97,APPLIED_REGEX_RULE,art_bot,Ulmus x hollandica,Ulmus hybr. hollandica,markers,normalize hybrid marker,NA
00008100_001f18f4,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f67e5,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f93c8,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f4916,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_001f58bb,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5826,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001ff5f9,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001ff5ff,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001f196b,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001ff5f3,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_0028cb86,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_002d8607,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_00237598,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_001f787a,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f7879,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f2a66,APPLIED_REGEX_RULE,art_bot,Populus x canadensis 'Robusta',Populus hybr. canadensis 'Robusta',markers,normalize hybrid marker,NA
00008100_001ff2d8,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Pyramidalis',Platanus hybr. hispanica 'Pyramidalis',markers,normalize hybrid marker,NA
00008100_0022116d,APPLIED_REGEX_RULE,art_bot,Crataegus x lavallei 'Carrierei',Crataegus hybr. lavallei 'Carrierei',markers,normalize hybrid marker,NA
00008100_0022170d,APPLIED_REGEX_RULE,art_bot,Acer x neglectum 'Annae',Acer hybr. neglectum 'Annae',markers,normalize hybrid marker,NA
00008100_002250ed,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_001f4bec,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f197d,APPLIED_REGEX_RULE,art_bot,Crataegus x lavallei 'Carrierei',Crataegus hybr. lavallei 'Carrierei',markers,normalize hybrid marker,NA
00008100_001f59d9,APPLIED_REGEX_RULE,art_bot,Crataegus x lavallei 'Carrierei',Crataegus hybr. lavallei 'Carrierei',markers,normalize hybrid marker,NA
00008100_001f5a65,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f5a63,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f44c1,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f521f,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_002dd934,APPLIED_REGEX_RULE,art_bot,Prunus x schmittii,Prunus hybr. schmittii,markers,normalize hybrid marker,NA
00008100_002988f6,APPLIED_REGEX_RULE,art_bot,Platanus x hispanica 'Tremonia',Platanus hybr. hispanica 'Tremonia',markers,normalize hybrid marker,NA
00008100_00280306,APPLIED_REGEX_RULE,art_bot,Robinia × margaretta 'Casque Rouge',Robinia hybr. margaretta 'Casque Rouge',markers,normalize hybrid marker,NA
00008100_001f9128,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
00008100_001f649c,APPLIED_REGEX_RULE,art_bot,Populus x canadensis 'Robusta',Populus hybr. canadensis 'Robusta',markers,normalize hybrid marker,NA
00008100_003024d0,APPLIED_REGEX_RULE,art_bot,Populus x canadensis Hybride,Populus hybr. canadensis Hybride,markers,normalize hybrid marker,NA
