code,value_from,value_to,message,n
DUPLICATE_LOCATION,"c(376912.826999917, 5824263.50639961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376914.778399918, 5824241.74599961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376915.820599918, 5824251.12799961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376916.108099918, 5823976.98639961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376918.411399917, 5824257.97829961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376918.845599917, 5824249.60439961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376920.373199918, 5824259.05469961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376923.776699918, 5824256.55669961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376995.745899918, 5824393.22089961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(377013.650899918, 5824408.31629961)",NA,duplicate location flag added,3
DUPLICATE_LOCATION,"c(377100.413199919, 5824456.61409961)",NA,duplicate location flag added,2
